,start,end,kor,eng
276,895161,897228,고마워 - 오기 전에 연락해,
277,903068,905136,안녕,
278,907439,908406,로스만 교수님,
279,908408,910208,이젠 교수님 사무실이 아니에요,
280,910210,911609,은퇴하셨잖아요,
281,911611,917381,투명하다고  말하려고 한 거지?,
282,920953,923487,사과하러 왔어,
283,923489,925289,됐어,
284,925291,927258,"에이미, 제발 - 너무 쪽팔려",
285,927260,931963,영화 보는 내내 그림을 보며 뿌듯했어,
286,931965,935967,'썸머나잇'부터  '위 고우 투게더'까지,
287,937836,939337,"그래, 네 말이 맞아",
288,939339,940871,처음부터 솔직하게 알려줘야 했어,
289,940873,942740,선물이 너무 부담스러워,
290,942742,944842,그렇겠지,
291,944844,946844,우리 관계는 비대칭이잖아,
292,946846,950014,내가 훨씬 더 좋아하지,
293,950016,953384,좋아하는 감정은 숫자로 나타낼 수 없어,
294,953386,956320,1제곱미터 크기의 그림을 선물했잖아,
295,956322,957388,숫자가 들어있어,
296,957390,959457,"에이미, 이러지 마",
297,959459,961092,제곱미터가 싫으면 달러로 계산할까?,
298,961094,962660,3천 달러나 썼다고,
299,966732,968266,에이미,
300,968268,970968,넌 소중한 친구라는걸 잊지 말아줘,
301,970970,973371,널 잃고 싶지는 않아,
302,973373,977008,미안한데 지금은 진심이 안 느껴져,
303,979611,981078,망치를 잡고 도와줘,
304,981080,983547,이미 상처 받았어,
305,983549,988419,이런 말 하고 싶지 않았는데,
306,988421,990855,사실 그림을 내린 이유는,
307,990857,994659,베르나데트가  질투해서 그랬어,
308,994661,996861,세상에,
309,996863,999030,왜 눈치를 못 챘지?,
310,999032,1002366,셋 중에 베르나데트가 제일 쿨하지 않은데,
311,1002368,1004902,그 점을 상기시키는 그림이지,
312,1004904,1009073,"맞아, 바로 그거야",
313,1009075,1010508,너무 착하다,
314,1010510,1013210,노력은 하지,
315,1013212,1015046,가자,
316,1015048,1016547,어디 가는데?,
317,1016549,1018182,너네 집에 그림을 걸어야지,
318,1018184,1019684,베르나데트는 어쩌고?,
319,1019686,1022420,같이 놀아주는 것으로  만족하라고 해,
320,1045644,1046844,뭐하는 거야?,
321,1046846,1049313,온도를 높이려고,
322,1049315,1051582,젖꼭지가 옷을 뚫고 나오기 전에,
323,1052751,1055619,서모스탯을 쓰면 안돼?,
324,1055621,1057154,좋은 질문이야,
325,1057156,1062360,서모스탯이 옆방에 있을  거라고 누가 생각했겠어,
326,1062362,1064228,대번포트 교수님 사무실인데,
327,1064230,1067798,갱년기 발한을 즐기고 있어,
328,1068667,1070835,여긴 왜 구멍이 있어?,
329,1070837,1072837,사무실에 왜 구멍이 있냐고?,
330,1072839,1075139,두 가지로 추려봤어,
331,1075141,1079377,누군가가 벽 안에 있던 뭔가를 갖고 싶어했 거나,
332,1079379,1080611,더 소름끼치는 이유는,
333,1080613,1083881,벽 속의 무언가가 나가고 싶었다는 거지,
334,1085283,1087685,그래도 창문이  열리는 방이잖아,
335,1087687,1088619,좋네,
336,1088621,1090988,그래? 들어봐,
337,1092091,1093257,풍경 소리 싫어해?,
338,1093259,1095493,"질색이지, 그게 다가 아냐",
339,1098731,1101365,바로 저거야 - 새 소리?,
340,1101367,1104101,불협화음이야,
341,1105003,1105970,그래서?,
342,1105972,1107204,아직도 모르겠어?,
343,1107206,1108672,저건 흉내지빠귀야,
344,1108674,1110741,흉내지빠귀는  소리를 바꿀 수 있어,
345,1110743,1112643,일부러 저러고 있어,
346,1114080,1115679,날 놀리고 있어,
347,1116783,1119083,"저런, 너네도 느껴져?",
348,1119085,1123154,네가 정신 나간  놈이란걸 깨닫고 있냐고?,
349,1123156,1125489,"아니, 진동 말이야",
350,1125491,1127491,지질학 실험실 바로 밑이야,
351,1127493,1130094,체 진동기를 또 켰나봐,
352,1130096,1131395,"야, 자갈 원숭이들아",
353,1131397,1134698,돌대가리를 흔들어도 충분한 진동이 느껴진다고,
354,1134700,1137001,"쉘든, 진정해",
355,1137003,1138068,어떻게?,
356,1138070,1139937,신경이 너무 날카로워졌어,
357,1139939,1143207,구멍에 새 소리에,
358,1143209,1147545,로스만 교수님은 내쫓기 어려워,
359,1150115,1151282,그렇게 불만이면,
360,1151284,1152917,크립키한테 넘겨주면 어때?,
361,1152919,1154285,그럼 내가 지는 거잖아,
362,1154287,1156287,내가 미쳤냐?,
363,1156289,1157655,시끄러워서 생각을 못 하겠다고,
364,1157657,1160307,정동에 미친 광석쟁이들아!,
365,1160309,1161942,그리고 너,
366,1161944,1164495,"정확한 음은 C, D, E, G, A야",
367,1164497,1167264,또 틀리면 나무를 베어버릴 거야,
368,1177671,1179182,어때?,
369,1179183,1181967,오른쪽을 더 높게,
370,1181969,1183886,지금은? - 조금 더,
371,1183888,1185971,이제 됐다,
372,1187891,1190476,그러네,
373,1191394,1192834,비밀을 말해줄게,
374,1193981,1196866,처음에는 누드로 그려줬어,
375,1202806,1205774,그런 다음에 옷을 그려넣었어,
376,1205776,1208961,이성애적 관계에 괜한 소문을 내고 싶지 않아서,
377,1211248,1213716,잘했어,
378,1213718,1216001,혹시라도 네 생각이 바뀌면,
379,1216003,1219054,비눗물이랑  스폰지만 있으면 돼,
380,1220073,1221376,그림 얘기를 하는 거지?,
381,1221401,1222601,그렇지,
382,1228231,1230933,사람 살려,
383,1234404,1235754,무슨 일이야?,
384,1235756,1239508,뭐가 있는지 보려고 했는데 머리가 안 빠져,
385,1239510,1241643,그런 짓은 왜 했어?,
386,1241645,1244446,과학적 호기심이라고,
387,1245699,1247733,버터나 갖고 와,
388,1247735,1249151,기다려,
389,1249153,1250953,금방 올게,
390,1252255,1312255,http://tbbt.tistory.com,
